year_level,avg,err_low,err_high,results_year,domain,test_type,school_id,school_name
Year 3,478,456,499,2014,Spelling,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
Year 3,524,500,549,2014,Grammar,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
Year 3,437,418,457,2014,Numeracy,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
Year 5,548,532,564,2014,Reading,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 5,502,487,517,2014,Writing,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 5,533,518,548,2014,Spelling,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 5,538,521,555,2014,Grammar,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 5,546,532,560,2014,Numeracy,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 5,543,528,557,2014,Reading,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 5,496,483,510,2014,Writing,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 5,519,506,532,2014,Spelling,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 5,538,522,553,2014,Grammar,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 5,532,520,545,2014,Numeracy,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 5,545,525,565,2014,Reading,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 5,477,457,497,2014,Writing,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 5,519,499,539,2014,Spelling,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 5,533,509,556,2014,Grammar,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 5,521,504,538,2014,Numeracy,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 5,504,478,531,2014,Reading,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 5,439,415,464,2014,Writing,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 5,492,468,516,2014,Spelling,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 5,505,477,533,2014,Grammar,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 5,475,453,497,2014,Numeracy,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 5,495,469,522,2014,Reading,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 5,484,460,509,2014,Writing,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 5,527,503,551,2014,Spelling,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 5,539,511,568,2014,Grammar,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 5,515,493,537,2014,Numeracy,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 5,558,543,572,2014,Reading,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 5,502,488,515,2014,Writing,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 5,505,491,518,2014,Spelling,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 5,535,519,550,2014,Grammar,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 5,510,497,522,2014,Numeracy,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 5,507,493,522,2014,Reading,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 5,483,469,496,2014,Writing,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 5,501,488,514,2014,Spelling,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 5,510,494,525,2014,Grammar,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 5,501,489,514,2014,Numeracy,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 5,542,523,560,2014,Reading,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 5,488,470,506,2014,Writing,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 5,508,491,525,2014,Spelling,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 5,534,513,554,2014,Grammar,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 5,497,479,514,2014,Numeracy,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 5,510,484,537,2014,Reading,Paper,45797,"St John's School, Footscray, VIC"
Year 5,509,485,534,2014,Writing,Paper,45797,"St John's School, Footscray, VIC"
Year 5,521,497,545,2014,Spelling,Paper,45797,"St John's School, Footscray, VIC"
Year 5,529,501,557,2014,Grammar,Paper,45797,"St John's School, Footscray, VIC"
Year 5,514,492,536,2014,Numeracy,Paper,45797,"St John's School, Footscray, VIC"
Year 5,543,526,560,2014,Reading,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
Year 5,507,491,523,2014,Writing,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
