year,enrolments,school_id,school_name
2015,1377.3,45475,"University High School, Parkville, VIC"
2015,687.0,44843,"Wembley Primary School, Yarraville, VIC"
2015,258.2,44378,"Footscray City Primary School, Footscray, VIC"
2015,340.0,44485,"Carlton Gardens Primary School, Carlton, VIC"
2015,868.0,45454,"Princes Hill Secondary College, Princes Hill, VIC"
2015,573.0,44664,"Footscray West Primary School, West Footscray, VIC"
2015,183.0,45797,"St John's School, Footscray, VIC"
2015,396.4,44062,"Footscray Primary School, Footscray, VIC"
2015,235.0,44919,"Altona North Primary School, Altona North, VIC"
2015,96.1,44948,"Carlton Primary School, Carlton, VIC"
2015,372.0,50217,"Newport Gardens Primary School, Newport, VIC"
2015,604.0,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
2015,1647.0,45442,"Northcote High School, Northcote, VIC"
2015,632.0,44270,"North Melbourne Primary School, North Melbourne, VIC"
2015,469.0,44461,"Kensington Primary School, Kensington, VIC"
2015,319.0,45375,"Mount Alexander 7-12 College, Flemington, VIC"
2015,953.0,45538,"Bayside P-12 College, Williamstown, VIC"
2015,1143.4,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
2015,734.0,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
2015,693.0,44273,"Williamstown North Primary School, Williamstown, VIC"
2015,402.0,44044,"Newport Lakes Primary School, Newport, VIC"
2015,449.6,48415,"Kensington Primary School, Kensington, WA"
2015,1312.6,45360,"Braybrook College, Braybrook, VIC"
2015,513.0,44224,"Albert Park Primary School, Albert Park, VIC"
2016,542.0,44224,"Albert Park Primary School, Albert Park, VIC"
2016,589.0,44664,"Footscray West Primary School, West Footscray, VIC"
2016,359.2,44485,"Carlton Gardens Primary School, Carlton, VIC"
2016,413.4,44062,"Footscray Primary School, Footscray, VIC"
2016,1424.4,45475,"University High School, Parkville, VIC"
2016,723.6,44270,"North Melbourne Primary School, North Melbourne, VIC"
2016,1036.0,50267,"Albert Park College, Albert Park, VIC"
2016,607.6,44671,"Altona Primary School, Altona, VIC"
2016,241.4,45587,"Altona College, Altona, VIC"
2016,1675.0,45442,"Northcote High School, Northcote, VIC"
2016,382.0,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
2016,525.0,44513,"Middle Park Primary School, Middle Park, VIC"
2016,885.4,45454,"Princes Hill Secondary College, Princes Hill, VIC"
2016,1361.0,45360,"Braybrook College, Braybrook, VIC"
2016,1471.6,40427,"Williamstown High School, Williamstown, VIC"
2016,103.8,44948,"Carlton Primary School, Carlton, VIC"
2016,795.0,44515,"Yarraville West Primary School, Yarraville, VIC"
2016,172.0,45797,"St John's School, Footscray, VIC"
2016,1016.5,45545,"Brunswick Secondary College, Brunswick, VIC"
2016,541.0,44225,"Williamstown Primary School, Williamstown, VIC"
2016,444.0,50217,"Newport Gardens Primary School, Newport, VIC"
2016,739.0,44273,"Williamstown North Primary School, Williamstown, VIC"
2016,409.0,44044,"Newport Lakes Primary School, Newport, VIC"
2016,429.4,48415,"Kensington Primary School, Kensington, WA"
2016,758.0,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
2016,475.0,44461,"Kensington Primary School, Kensington, VIC"
2016,916.3,45538,"Bayside P-12 College, Williamstown, VIC"
2016,364.0,44714,"Footscray North Primary School, Footscray, VIC"
2016,216.0,44634,"Spotswood Primary School, Spotswood, VIC"
2016,475.0,44461,"Kensington Primary School, Kensington, VIC"
2016,587.0,45517,"Fitzroy High School, Fitzroy North, VIC"
2016,310.0,44378,"Footscray City Primary School, Footscray, VIC"
2016,619.0,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
2016,324.0,45375,"Mount Alexander 7-12 College, Flemington, VIC"
2016,637.0,44693,"Kingsville Primary School, Yarraville, VIC"
2016,220.4,44919,"Altona North Primary School, Altona North, VIC"
2016,1212.0,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
2016,686.0,44843,"Wembley Primary School, Yarraville, VIC"
2017,924.0,45538,"Bayside P-12 College, Williamstown, VIC"
2017,531.0,44513,"Middle Park Primary School, Middle Park, VIC"
2017,813.0,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
2017,409.0,44714,"Footscray North Primary School, Footscray, VIC"
2017,1211.0,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
2017,441.0,48415,"Kensington Primary School, Kensington, WA"
2017,401.0,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
2017,450.4,44062,"Footscray Primary School, Footscray, VIC"
2017,273.0,45587,"Altona College, Altona, VIC"
2017,365.0,44378,"Footscray City Primary School, Footscray, VIC"
2017,346.0,45375,"Mount Alexander 7-12 College, Flemington, VIC"
2017,445.0,44044,"Newport Lakes Primary School, Newport, VIC"
2017,619.0,44664,"Footscray West Primary School, West Footscray, VIC"
2017,359.0,44485,"Carlton Gardens Primary School, Carlton, VIC"
2017,1432.9,45475,"University High School, Parkville, VIC"
2017,865.6,45454,"Princes Hill Secondary College, Princes Hill, VIC"
2017,742.6,44270,"North Melbourne Primary School, North Melbourne, VIC"
2017,481.0,50217,"Newport Gardens Primary School, Newport, VIC"
2017,1749.0,45442,"Northcote High School, Northcote, VIC"
2017,1145.5,50267,"Albert Park College, Albert Park, VIC"
2017,480.0,44461,"Kensington Primary School, Kensington, VIC"
2017,581.0,44224,"Albert Park Primary School, Albert Park, VIC"
2017,1504.5,40427,"Williamstown High School, Williamstown, VIC"
2017,598.3,45517,"Fitzroy High School, Fitzroy North, VIC"
2017,204.0,44919,"Altona North Primary School, Altona North, VIC"
2017,633.0,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
2017,237.0,44634,"Spotswood Primary School, Spotswood, VIC"
2017,631.0,44671,"Altona Primary School, Altona, VIC"
2017,821.0,44515,"Yarraville West Primary School, Yarraville, VIC"
2017,111.8,44948,"Carlton Primary School, Carlton, VIC"
2017,480.0,44461,"Kensington Primary School, Kensington, VIC"
2017,766.0,44273,"Williamstown North Primary School, Williamstown, VIC"
2017,531.0,44225,"Williamstown Primary School, Williamstown, VIC"
2017,1394.0,45360,"Braybrook College, Braybrook, VIC"
2017,642.0,44693,"Kingsville Primary School, Yarraville, VIC"
2017,720.0,44843,"Wembley Primary School, Yarraville, VIC"
2017,182.0,45797,"St John's School, Footscray, VIC"
2017,1023.9,45545,"Brunswick Secondary College, Brunswick, VIC"
2018,416.6,48415,"Kensington Primary School, Kensington, WA"
2018,415.0,45375,"Mount Alexander 7-12 College, Flemington, VIC"
2018,542.0,44513,"Middle Park Primary School, Middle Park, VIC"
2018,400.0,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
2018,444.0,44062,"Footscray Primary School, Footscray, VIC"
2018,1265.0,50267,"Albert Park College, Albert Park, VIC"
2018,422.4,44378,"Footscray City Primary School, Footscray, VIC"
2018,313.0,45587,"Altona College, Altona, VIC"
2018,195.0,45797,"St John's School, Footscray, VIC"
2018,769.0,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
