Net recurrent income,$ Total,$ per student,year,school_id,school_name
Total net recurrent income,4857097,8149,2014,44693,"Kingsville Primary School, Yarraville, VIC"
Australian government recurrent funding,1133766,1629,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
Total net recurrent income,5863200,9090,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2014,44693,"Kingsville Primary School, Yarraville, VIC"
Subtotal,0,0,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
Less deductions,0,0,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
Total gross income,5863200,9090,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
Other private sources,417381,647,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
"Fees, charges and parent contributions",449280,697,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
Less deductions,0,0,2014,44693,"Kingsville Primary School, Yarraville, VIC"
Total gross income,4857097,8149,2014,44693,"Kingsville Primary School, Yarraville, VIC"
Other private sources,180864,303,2014,44693,"Kingsville Primary School, Yarraville, VIC"
State / territory government recurring funding,844532,9180,2014,44948,"Carlton Primary School, Carlton, VIC"
Australian government recurrent funding,290907,3162,2014,44948,"Carlton Primary School, Carlton, VIC"
Total net recurrent income,6091069,8752,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
Subtotal,0,0,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
Less deductions,0,0,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
Total gross income,6091069,8752,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
Other private sources,111344,160,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
"Fees, charges and parent contributions",424869,610,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
State / territory government recurring funding,4421090,6352,2014,44515,"Yarraville West Primary School, Yarraville, VIC"
Australian government recurrent funding,807563,1355,2014,44693,"Kingsville Primary School, Yarraville, VIC"
State / territory government recurring funding,3546601,5951,2014,44693,"Kingsville Primary School, Yarraville, VIC"
"Fees, charges and parent contributions",322069,540,2014,44693,"Kingsville Primary School, Yarraville, VIC"
Other private sources,191601,2083,2014,44948,"Carlton Primary School, Carlton, VIC"
Total gross income,1590717,9248,2014,44634,"Spotswood Primary School, Spotswood, VIC"
Other private sources,104449,607,2014,44634,"Spotswood Primary School, Spotswood, VIC"
"Fees, charges and parent contributions",108831,633,2014,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to current capital projects,0,0,2014,44062,"Footscray Primary School, Footscray, VIC"
Less deductions,0,0,2014,44062,"Footscray Primary School, Footscray, VIC"
Total gross income,3528091,9666,2014,44062,"Footscray Primary School, Footscray, VIC"
Other private sources,140401,385,2014,44062,"Footscray Primary School, Footscray, VIC"
"Fees, charges and parent contributions",157920,433,2014,44062,"Footscray Primary School, Footscray, VIC"
State / territory government recurring funding,2627058,7197,2014,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44062,"Footscray Primary School, Footscray, VIC"
Australian government recurrent funding,602712,1651,2014,44062,"Footscray Primary School, Footscray, VIC"
Subtotal,0,0,2014,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2014,44225,"Williamstown Primary School, Williamstown, VIC"
