Net recurrent income,$ Total,$ per student,year,school_id,school_name
State / territory government recurring funding,2537295,12257,2020,44919,"Altona North Primary School, Altona North, VIC"
Australian government recurrent funding,641718,3100,2020,44919,"Altona North Primary School, Altona North, VIC"
Australian government recurrent funding,1372036,2254,2020,44671,"Altona Primary School, Altona, VIC"
State / territory government recurring funding,5208284,8558,2020,44671,"Altona Primary School, Altona, VIC"
Other private sources,42164,69,2020,44671,"Altona Primary School, Altona, VIC"
Australian government recurrent funding,1302142,2288,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Subtotal,0,0,2021,45360,"Braybrook College, Braybrook, VIC"
Total gross income,10284490,17644,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Total net recurrent income,6186229,11672,2021,44044,"Newport Lakes Primary School, Newport, VIC"
Australian government recurrent funding,4970184,3641,2021,45360,"Braybrook College, Braybrook, VIC"
State / territory government recurring funding,19539695,14315,2021,45360,"Braybrook College, Braybrook, VIC"
"Fees, charges and parent contributions",568123,416,2021,45360,"Braybrook College, Braybrook, VIC"
Other private sources,53799,39,2021,45360,"Braybrook College, Braybrook, VIC"
Total gross income,25131800,18412,2021,45360,"Braybrook College, Braybrook, VIC"
Less deductions,0,0,2021,45360,"Braybrook College, Braybrook, VIC"
Income allocated to current capital projects,0,0,2021,45360,"Braybrook College, Braybrook, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,45360,"Braybrook College, Braybrook, VIC"
Income allocated to debt servicing,0,0,2021,45360,"Braybrook College, Braybrook, VIC"
Total net recurrent income,25131800,18412,2021,45360,"Braybrook College, Braybrook, VIC"
Total net recurrent income,21527754,16664,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
State / territory government recurring funding,4891311,8596,2021,44224,"Albert Park Primary School, Albert Park, VIC"
"Fees, charges and parent contributions",190953,336,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Other private sources,246702,434,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Total gross income,6631109,11654,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Less deductions,0,0,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to current capital projects,0,0,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to debt servicing,0,0,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Subtotal,0,0,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Subtotal,0,0,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Total net recurrent income,4031649,16127,2021,52915,"Docklands Primary School, Docklands, VIC"
Total net recurrent income,10284490,17644,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Subtotal,0,0,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to debt servicing,0,0,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to current capital projects,0,0,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Less deductions,0,0,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Other private sources,793711,1362,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
"Fees, charges and parent contributions",308817,530,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Australian government recurrent funding,4362942,2813,2021,50267,"Albert Park College, Albert Park, VIC"
Australian government recurrent funding,1868611,3206,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,48415,"Kensington Primary School, Kensington, WA"
Income allocated to debt servicing,0,0,2021,48415,"Kensington Primary School, Kensington, WA"
Subtotal,0,0,2021,48415,"Kensington Primary School, Kensington, WA"
Total net recurrent income,5974262,14529,2021,48415,"Kensington Primary School, Kensington, WA"
Australian government recurrent funding,1272622,2194,2021,44693,"Kingsville Primary School, Yarraville, VIC"
State / territory government recurring funding,4910865,8467,2021,44693,"Kingsville Primary School, Yarraville, VIC"
"Fees, charges and parent contributions",333126,574,2021,44693,"Kingsville Primary School, Yarraville, VIC"
Other private sources,227577,392,2021,44693,"Kingsville Primary School, Yarraville, VIC"
Total gross income,6744190,11628,2021,44693,"Kingsville Primary School, Yarraville, VIC"
Less deductions,0,0,2021,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2021,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2021,48415,"Kensington Primary School, Kensington, WA"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44693,"Kingsville Primary School, Yarraville, VIC"
Subtotal,0,0,2021,44693,"Kingsville Primary School, Yarraville, VIC"
Total net recurrent income,6744190,11628,2021,44693,"Kingsville Primary School, Yarraville, VIC"
Australian government recurrent funding,1692984,2291,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total net recurrent income,3387213,18211,2021,44919,"Altona North Primary School, Altona North, VIC"
Subtotal,0,0,2021,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to debt servicing,0,0,2021,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to current capital projects,0,0,2021,44919,"Altona North Primary School, Altona North, VIC"
Less deductions,0,0,2021,44919,"Altona North Primary School, Altona North, VIC"
Total gross income,3387213,18211,2021,44919,"Altona North Primary School, Altona North, VIC"
Other private sources,135451,728,2021,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to debt servicing,0,0,2021,44693,"Kingsville Primary School, Yarraville, VIC"
Less deductions,0,0,2021,48415,"Kensington Primary School, Kensington, WA"
Total gross income,5974262,14529,2021,48415,"Kensington Primary School, Kensington, WA"
Other private sources,65130,158,2021,48415,"Kensington Primary School, Kensington, WA"
Total net recurrent income,19429932,19257,2021,45538,"Bayside P-12 College, Williamstown, VIC"
Subtotal,0,0,2021,45538,"Bayside P-12 College, Williamstown, VIC"
Income allocated to debt servicing,0,0,2021,45538,"Bayside P-12 College, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,45538,"Bayside P-12 College, Williamstown, VIC"
Income allocated to current capital projects,0,0,2021,45538,"Bayside P-12 College, Williamstown, VIC"
Less deductions,0,0,2021,45538,"Bayside P-12 College, Williamstown, VIC"
Total gross income,19429932,19257,2021,45538,"Bayside P-12 College, Williamstown, VIC"
Other private sources,116017,115,2021,45538,"Bayside P-12 College, Williamstown, VIC"
"Fees, charges and parent contributions",605397,600,2021,45538,"Bayside P-12 College, Williamstown, VIC"
State / territory government recurring funding,14880238,14748,2021,45538,"Bayside P-12 College, Williamstown, VIC"
Australian government recurrent funding,3828280,3794,2021,45538,"Bayside P-12 College, Williamstown, VIC"
Total net recurrent income,27081418,18458,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
Subtotal,0,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
Income allocated to debt servicing,0,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
Income allocated to current capital projects,0,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
Less deductions,0,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
Total gross income,27081418,18458,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
Other private sources,291561,199,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
"Fees, charges and parent contributions",1302271,888,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
State / territory government recurring funding,20276938,13820,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
Australian government recurrent funding,5210648,3551,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
Australian government recurrent funding,1173990,2855,2021,48415,"Kensington Primary School, Kensington, WA"
State / territory government recurring funding,4657979,11328,2021,48415,"Kensington Primary School, Kensington, WA"
"Fees, charges and parent contributions",77164,188,2021,48415,"Kensington Primary School, Kensington, WA"
"Fees, charges and parent contributions",0,0,2021,44919,"Altona North Primary School, Altona North, VIC"
State / territory government recurring funding,2569936,13817,2021,44919,"Altona North Primary School, Altona North, VIC"
Australian government recurrent funding,681826,3666,2021,44919,"Altona North Primary School, Altona North, VIC"
Total net recurrent income,3409093,11715,2021,44634,"Spotswood Primary School, Spotswood, VIC"
"Fees, charges and parent contributions",233472,410,2021,50217,"Newport Gardens Primary School, Newport, VIC"
State / territory government recurring funding,4917261,8642,2021,50217,"Newport Gardens Primary School, Newport, VIC"
Australian government recurrent funding,1271336,2234,2021,50217,"Newport Gardens Primary School, Newport, VIC"
Total net recurrent income,6631109,11654,2021,44224,"Albert Park Primary School, Albert Park, VIC"
Australian government recurrent funding,589031,2356,2021,52915,"Docklands Primary School, Docklands, VIC"
Total net recurrent income,6213294,12982,2021,44461,"Kensington Primary School, Kensington, VIC"
Subtotal,0,0,2021,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to debt servicing,0,0,2021,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to current capital projects,0,0,2021,44461,"Kensington Primary School, Kensington, VIC"
Less deductions,0,0,2021,44461,"Kensington Primary School, Kensington, VIC"
Total gross income,6213294,12982,2021,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,202606,423,2021,44461,"Kensington Primary School, Kensington, VIC"
"Fees, charges and parent contributions",136273,285,2021,44461,"Kensington Primary School, Kensington, VIC"
State / territory government recurring funding,4674154,9766,2021,44461,"Kensington Primary School, Kensington, VIC"
Australian government recurrent funding,1200261,2508,2021,44461,"Kensington Primary School, Kensington, VIC"
State / territory government recurring funding,2333325,9333,2021,52915,"Docklands Primary School, Docklands, VIC"
"Fees, charges and parent contributions",128283,513,2021,52915,"Docklands Primary School, Docklands, VIC"
Other private sources,981010,3924,2021,52915,"Docklands Primary School, Docklands, VIC"
Total gross income,4031649,16127,2021,52915,"Docklands Primary School, Docklands, VIC"
Less deductions,0,0,2021,52915,"Docklands Primary School, Docklands, VIC"
Income allocated to current capital projects,0,0,2021,52915,"Docklands Primary School, Docklands, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,52915,"Docklands Primary School, Docklands, VIC"
Income allocated to debt servicing,0,0,2021,52915,"Docklands Primary School, Docklands, VIC"
Subtotal,0,0,2021,52915,"Docklands Primary School, Docklands, VIC"
Other private sources,108096,190,2021,50217,"Newport Gardens Primary School, Newport, VIC"
State / territory government recurring funding,7313352,12546,2021,45517,"Fitzroy High School, Fitzroy North, VIC"
Total gross income,6530165,11477,2021,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to current capital projects,0,0,2021,50217,"Newport Gardens Primary School, Newport, VIC"
Subtotal,0,0,2021,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to debt servicing,0,0,2021,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to current capital projects,0,0,2021,44634,"Spotswood Primary School, Spotswood, VIC"
Less deductions,0,0,2021,44634,"Spotswood Primary School, Spotswood, VIC"
Total gross income,3409093,11715,2021,44634,"Spotswood Primary School, Spotswood, VIC"
Other private sources,65337,225,2021,44634,"Spotswood Primary School, Spotswood, VIC"
"Fees, charges and parent contributions",126542,435,2021,44634,"Spotswood Primary School, Spotswood, VIC"
State / territory government recurring funding,2563183,8808,2021,44634,"Spotswood Primary School, Spotswood, VIC"
Australian government recurrent funding,654031,2248,2021,44634,"Spotswood Primary School, Spotswood, VIC"
State / territory government recurring funding,6263346,8475,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
"Fees, charges and parent contributions",132239,179,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Other private sources,368714,499,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total gross income,8457283,11444,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Less deductions,0,0,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to current capital projects,0,0,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to debt servicing,0,0,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Subtotal,0,0,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total net recurrent income,8457283,11444,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total net recurrent income,6530165,11477,2021,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Subtotal,0,0,2021,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2021,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,50217,"Newport Gardens Primary School, Newport, VIC"
Less deductions,0,0,2021,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Total net recurrent income,6213294,12982,2021,44461,"Kensington Primary School, Kensington, VIC"
Less deductions,0,0,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Australian government recurrent funding,1218466,2330,2021,44378,"Footscray City Primary School, Footscray, VIC"
Australian government recurrent funding,2021051,2504,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
State / territory government recurring funding,7069810,8761,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
"Fees, charges and parent contributions",408862,507,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
Other private sources,135123,167,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
Total gross income,9634846,11939,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
Less deductions,0,0,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
Subtotal,0,0,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
Total net recurrent income,9634846,11939,2021,44515,"Yarraville West Primary School, Yarraville, VIC"
Australian government recurrent funding,659214,6566,2021,44948,"Carlton Primary School, Carlton, VIC"
State / territory government recurring funding,1874016,18665,2021,44948,"Carlton Primary School, Carlton, VIC"
"Fees, charges and parent contributions",60992,607,2021,44948,"Carlton Primary School, Carlton, VIC"
Other private sources,191982,1912,2021,44948,"Carlton Primary School, Carlton, VIC"
Total gross income,2786204,27751,2021,44948,"Carlton Primary School, Carlton, VIC"
Total net recurrent income,7442272,11739,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Subtotal,0,0,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to debt servicing,0,0,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Australian government recurrent funding,1542448,2176,2021,44843,"Wembley Primary School, Yarraville, VIC"
State / territory government recurring funding,5991124,8450,2021,44843,"Wembley Primary School, Yarraville, VIC"
"Fees, charges and parent contributions",421576,595,2021,44843,"Wembley Primary School, Yarraville, VIC"
Other private sources,265256,374,2021,44843,"Wembley Primary School, Yarraville, VIC"
Total gross income,8220404,11594,2021,44843,"Wembley Primary School, Yarraville, VIC"
Less deductions,0,0,2021,44843,"Wembley Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2021,44843,"Wembley Primary School, Yarraville, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44843,"Wembley Primary School, Yarraville, VIC"
Less deductions,0,0,2021,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to debt servicing,0,0,2021,44843,"Wembley Primary School, Yarraville, VIC"
Total net recurrent income,8220404,11594,2021,44843,"Wembley Primary School, Yarraville, VIC"
Australian government recurrent funding,1492141,2354,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
State / territory government recurring funding,5619206,8863,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
"Fees, charges and parent contributions",221309,349,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Other private sources,109616,173,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Total gross income,7442272,11739,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Less deductions,0,0,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to current capital projects,0,0,2021,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Subtotal,0,0,2021,44843,"Wembley Primary School, Yarraville, VIC"
Total net recurrent income,8330467,18377,2021,52703,"Richmond High School, Richmond, VIC"
Income allocated to current capital projects,0,0,2021,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to debt servicing,0,0,2021,44948,"Carlton Primary School, Carlton, VIC"
Total net recurrent income,6180370,11817,2021,44378,"Footscray City Primary School, Footscray, VIC"
Australian government recurrent funding,1336794,2281,2021,44671,"Altona Primary School, Altona, VIC"
State / territory government recurring funding,5207346,8886,2021,44671,"Altona Primary School, Altona, VIC"
"Fees, charges and parent contributions",206990,353,2021,44671,"Altona Primary School, Altona, VIC"
Other private sources,48287,82,2021,44671,"Altona Primary School, Altona, VIC"
Total gross income,6799416,11603,2021,44671,"Altona Primary School, Altona, VIC"
Income allocated to current capital projects,0,0,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to current capital projects,0,0,2021,44671,"Altona Primary School, Altona, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44671,"Altona Primary School, Altona, VIC"
Income allocated to debt servicing,0,0,2021,44671,"Altona Primary School, Altona, VIC"
Subtotal,0,0,2021,44671,"Altona Primary School, Altona, VIC"
Total net recurrent income,6799416,11603,2021,44671,"Altona Primary School, Altona, VIC"
Australian government recurrent funding,1357094,2581,2021,44714,"Footscray North Primary School, Footscray, VIC"
State / territory government recurring funding,5155527,9805,2021,44714,"Footscray North Primary School, Footscray, VIC"
"Fees, charges and parent contributions",165937,316,2021,44714,"Footscray North Primary School, Footscray, VIC"
Other private sources,151307,288,2021,44714,"Footscray North Primary School, Footscray, VIC"
Total gross income,6829865,12989,2021,44714,"Footscray North Primary School, Footscray, VIC"
Subtotal,0,0,2021,44378,"Footscray City Primary School, Footscray, VIC"
Income allocated to debt servicing,0,0,2021,44378,"Footscray City Primary School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44378,"Footscray City Primary School, Footscray, VIC"
Income allocated to current capital projects,0,0,2021,44378,"Footscray City Primary School, Footscray, VIC"
Subtotal,0,0,2021,44948,"Carlton Primary School, Carlton, VIC"
Total net recurrent income,2786204,27751,2021,44948,"Carlton Primary School, Carlton, VIC"
State / territory government recurring funding,4502247,8609,2021,44378,"Footscray City Primary School, Footscray, VIC"
"Fees, charges and parent contributions",279854,535,2021,44378,"Footscray City Primary School, Footscray, VIC"
Australian government recurrent funding,1632218,2153,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
State / territory government recurring funding,6307638,8321,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
"Fees, charges and parent contributions",373683,493,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
Other private sources,193405,255,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44948,"Carlton Primary School, Carlton, VIC"
Total gross income,8506943,11223,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
Subtotal,0,0,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
Total net recurrent income,8506943,11223,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
Other private sources,179804,344,2021,44378,"Footscray City Primary School, Footscray, VIC"
Total gross income,6180370,11817,2021,44378,"Footscray City Primary School, Footscray, VIC"
Less deductions,0,0,2021,44378,"Footscray City Primary School, Footscray, VIC"
Less deductions,0,0,2021,44273,"Williamstown North Primary School, Williamstown, VIC"
Subtotal,0,0,2021,52703,"Richmond High School, Richmond, VIC"
Income allocated to debt servicing,0,0,2021,52703,"Richmond High School, Richmond, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,52703,"Richmond High School, Richmond, VIC"
State / territory government recurring funding,3692533,9641,2021,44062,"Footscray Primary School, Footscray, VIC"
"Fees, charges and parent contributions",213036,556,2021,44062,"Footscray Primary School, Footscray, VIC"
Other private sources,146497,382,2021,44062,"Footscray Primary School, Footscray, VIC"
Total gross income,4998252,13050,2021,44062,"Footscray Primary School, Footscray, VIC"
Less deductions,0,0,2021,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to current capital projects,0,0,2021,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to debt servicing,0,0,2021,44062,"Footscray Primary School, Footscray, VIC"
Subtotal,0,0,2021,44062,"Footscray Primary School, Footscray, VIC"
Total net recurrent income,4998252,13050,2021,44062,"Footscray Primary School, Footscray, VIC"
Total net recurrent income,5926580,17380,2021,52698,"Prahran High School, Windsor, VIC"
Subtotal,0,0,2021,52698,"Prahran High School, Windsor, VIC"
Income allocated to debt servicing,0,0,2021,52698,"Prahran High School, Windsor, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,52698,"Prahran High School, Windsor, VIC"
Income allocated to current capital projects,0,0,2021,52698,"Prahran High School, Windsor, VIC"
Less deductions,0,0,2021,52698,"Prahran High School, Windsor, VIC"
Total gross income,5926580,17380,2021,52698,"Prahran High School, Windsor, VIC"
Australian government recurrent funding,946186,2470,2021,44062,"Footscray Primary School, Footscray, VIC"
Total net recurrent income,9210300,16631,2021,45587,"Altona College, Altona, VIC"
Subtotal,0,0,2021,45587,"Altona College, Altona, VIC"
Income allocated to debt servicing,0,0,2021,45587,"Altona College, Altona, VIC"
State / territory government recurring funding,16684468,10757,2021,50267,"Albert Park College, Albert Park, VIC"
"Fees, charges and parent contributions",2877352,1855,2021,50267,"Albert Park College, Albert Park, VIC"
Other private sources,168700,109,2021,50267,"Albert Park College, Albert Park, VIC"
Total gross income,24093462,15534,2021,50267,"Albert Park College, Albert Park, VIC"
Less deductions,0,0,2021,50267,"Albert Park College, Albert Park, VIC"
Income allocated to current capital projects,0,0,2021,50267,"Albert Park College, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,50267,"Albert Park College, Albert Park, VIC"
Income allocated to debt servicing,0,0,2021,50267,"Albert Park College, Albert Park, VIC"
Other private sources,107144,314,2021,52698,"Prahran High School, Windsor, VIC"
Subtotal,0,0,2021,50267,"Albert Park College, Albert Park, VIC"
Australian government recurrent funding,1778057,3211,2021,45587,"Altona College, Altona, VIC"
State / territory government recurring funding,6916803,12490,2021,45587,"Altona College, Altona, VIC"
"Fees, charges and parent contributions",211606,382,2021,45587,"Altona College, Altona, VIC"
Other private sources,303833,549,2021,45587,"Altona College, Altona, VIC"
Total gross income,9210300,16631,2021,45587,"Altona College, Altona, VIC"
Less deductions,0,0,2021,45587,"Altona College, Altona, VIC"
Income allocated to current capital projects,0,0,2021,45587,"Altona College, Altona, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,45587,"Altona College, Altona, VIC"
Total net recurrent income,24093462,15534,2021,50267,"Albert Park College, Albert Park, VIC"
"Fees, charges and parent contributions",257976,757,2021,52698,"Prahran High School, Windsor, VIC"
State / territory government recurring funding,4444862,13035,2021,52698,"Prahran High School, Windsor, VIC"
Australian government recurrent funding,1116598,3274,2021,52698,"Prahran High School, Windsor, VIC"
Australian government recurrent funding,1132257,2229,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Total net recurrent income,4361617,11950,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Subtotal,0,0,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Income allocated to debt servicing,0,0,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Income allocated to current capital projects,0,0,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Less deductions,0,0,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Total gross income,4361617,11950,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
State / territory government recurring funding,4320155,8504,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Other private sources,33049,91,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
State / territory government recurring funding,3343727,9161,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Australian government recurrent funding,855790,2345,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
State / territory government recurring funding,5971812,13174,2021,52703,"Richmond High School, Richmond, VIC"
"Fees, charges and parent contributions",575615,1270,2021,52703,"Richmond High School, Richmond, VIC"
Other private sources,230657,509,2021,52703,"Richmond High School, Richmond, VIC"
Total gross income,8330467,18377,2021,52703,"Richmond High School, Richmond, VIC"
Less deductions,0,0,2021,52703,"Richmond High School, Richmond, VIC"
Income allocated to current capital projects,0,0,2021,52703,"Richmond High School, Richmond, VIC"
"Fees, charges and parent contributions",129051,354,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Less deductions,0,0,2021,44714,"Footscray North Primary School, Footscray, VIC"
"Fees, charges and parent contributions",366873,722,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Total gross income,5946645,11706,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Australian government recurrent funding,1552383,3425,2021,52703,"Richmond High School, Richmond, VIC"
Australian government recurrent funding,945536,2358,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
State / territory government recurring funding,3662667,9134,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
"Fees, charges and parent contributions",216407,540,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
Other private sources,75015,187,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
Total gross income,4899625,12219,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
Less deductions,0,0,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
Income allocated to current capital projects,0,0,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
Other private sources,127361,251,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
Subtotal,0,0,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
Total net recurrent income,4899625,12219,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
Total net recurrent income,5946645,11706,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Subtotal,0,0,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to debt servicing,0,0,2021,44513,"Middle Park Primary School, Middle Park, VIC"
